FIPS,var68,var44,var60,var14,var13,var39,var9,var67,var3,var40,var23,var8,var18,var2,var65,var29,var30,var15,var61,var64,var24,var59,var5,var27,var6,var16,var17,var10,var35,var69,var34,var21,var38,var19,var22,var33,var11,var62,var63,var1,var58,var36,var31,var28,var20,var32,var66,var12,var4,var41,var37,var7
1001,12.7,0.028724768999999997,17.58259882,0.0915213545,0.8848081090000001,4.0,0.863345301,56580.0,3.3180585935,4.0,498.33124715,7.726582239,0.779112646,10.892327697999999,11.99538216,,4.871002913,0.01826225,2.400542413,0.040314453,18.82467523,77.24615638,8.6487985825,11.624792379999999,4.1863283735,0.538631458,0.0365245,0.159000156,7.05,18.8,17.75,0.5757862165000001,4.0,0.10461189999999998,662.1570437,0.9858436054999999,0.112092264,0.855765883,0.39764710200000003,32.915956025,0.0820751025,8.9,0.7959991715,,0.6020241390000001,2.854884528,26.77795899,0.016158693999999998,4.608749253,9.567318118,4.0,23.1636133
1003,12.9,0.0207080755,9.308424547000001,0.13934718000000001,0.618712368,4.0,0.7559733540000001,52387.0,2.026470813,4.0,498.33124715,1.94275688,0.8875489309999999,5.4423436105,16.77118481,6.6213857745,4.871002913,0.03171354999999999,4.3848242939999995,0.043343482999999995,18.82467523,83.50478699,4.0940675955,11.624792379999999,3.2877050975,0.6264863665,0.12349041549999999,0.11683339,7.05,19.6,17.75,1.115162441,4.0,0.1416957,662.1570437,0.9858436054999999,0.09966238599999999,0.735193263,0.628754835,18.042980965,0.11263087800000002,8.9,0.7959991715,34.986246945000005,0.6419581285,2.854884528,22.98740844,0.008130817,1.298900369,8.719132582,4.0,13.98139347
1005,32.0,0.110654907,46.69118986,0.18337476749999998,1.684024675,4.0,1.85518274,31433.0,4.232623725,4.0,498.33124715,9.881359689,1.3913060415,11.079991145000001,14.23680664,3.574761398,4.871002913,0.018596349999999998,5.051535128,0.08740940400000001,18.82467523,46.75310485,3.5917017575,11.624792379999999,2.9034304779999998,0.606431087,0.07334990699999999,0.062266125,7.05,45.2,17.75,0.4958884845,4.0,0.2292214,662.1570437,0.9858436054999999,0.145538576,0.389700259,0.21852350899999998,21.47326589,0.018078599999999997,8.9,0.7959991715,66.08882237,0.7887703705,2.854884528,21.90698183,0.029436486,4.30314705,2.5829765585000004,4.0,10.30293444
1007,22.2,0.045243968,21.9245036,0.241851726,0.022951098,4.0,0.037515874,40767.0,3.1400037695,4.0,498.33124715,1.828932762,0.823280461,2.373144,12.68164957,10.1565265455,4.871002913,0.04401135,1.7717652190000002,0.030547676,18.82467523,75.02072878,1.051379932,11.624792379999999,0.6289364049999999,0.7473502175,0.022216299999999998,0.008703111,7.05,29.3,17.75,0.241851726,4.0,0.24959379999999998,662.1570437,0.9858436054999999,0.01096704,0.09600698199999999,0.27929303899999997,4.395038552000001,0.04401135,8.9,0.7959991715,52.30638926,0.2636467655,2.854884528,22.69692341,0.0,0.676710323,6.282755334499999,4.0,2.3587704069999997
1009,14.7,0.017234625,1.263040368,0.10429453799999999,0.353990068,4.0,0.867886486,50487.0,3.302896994,4.0,498.33124715,0.16720052900000001,0.883126206,1.9713087384999999,14.72209623,8.586481288,4.871002913,0.0173824,8.070199922999999,0.031401556000000004,18.82467523,88.88733819,1.1301051255,11.624792379999999,0.611426096,0.5042044765,0.017439549999999998,0.014704641000000001,7.05,22.2,17.75,0.295615401,4.0,0.13839395,662.1570437,0.9858436054999999,0.050483658,0.200621053,0.497191305,4.599110116,0.05214730000000001,8.9,0.7959991715,42.33453875,0.39119017450000004,2.854884528,24.60835281,0.001854177,0.812727493,6.5158248295,4.0,5.909147039
1011,39.6,0.0937698465,69.97434488,0.183918923,0.334645147,4.0,0.220623872,28251.0,9.1950007895,4.0,498.33124715,24.13878216,1.263272775,19.94754044,13.45977643,0.0305436775,4.871002913,0.0,7.119296317000001,0.036650174,18.82467523,21.916804100000004,5.6066211205,11.624792379999999,5.1352729295,0.230370056,0.045508328,0.008876198,7.05,51.2,17.75,0.1374677895,4.0,0.1870412,662.1570437,0.9858436054999999,0.07060003299999999,0.18325087,0.18325087,37.71249731,0.0,8.9,0.7959991715,77.9887662,0.321386712,2.854884528,22.26498076,0.0,6.01662283,4.5443725950000005,4.0,13.39743867
1013,25.8,0.100095163,43.189955600000005,0.145790024,0.054618739000000006,4.0,0.05291880400000001,33868.0,4.211517918,4.0,498.33124715,2.629976143,1.4460284255,2.879075523,16.6563231,6.965929828,4.871002913,0.04859670000000001,0.911825082,0.033417672999999995,18.82467523,54.06024729,1.2626299535,11.624792379999999,1.2166958715,1.092414005,0.0239613,0.023657317999999997,7.05,36.0,17.75,0.7016182545,4.0,0.24721655,662.1570437,0.9858436054999999,0.034843936,0.8306678759999999,0.281663245,6.235137398499999,0.024635400000000002,8.9,0.7959991715,67.766959335,0.8261434705,2.854884528,24.13710794,0.0,1.076878993,4.930802788,4.0,3.483708463
1015,20.0,0.0174908675,20.3901427,0.2220709725,0.7477089570000001,4.0,0.8188216359999999,42091.0,2.627706805,4.0,498.33124715,4.6096255269999995,1.2684631005,9.6111952365,14.32884661,7.8496509549999995,4.871002913,0.0256133,3.283237189,0.07927672599999999,18.82467523,73.61350066,5.535730018,11.624792379999999,3.9766005469999994,0.690934449,0.01276205,0.19825186600000003,7.05,30.7,17.75,0.6151647005,4.0,0.17797464999999998,662.1570437,0.9858436054999999,0.099767664,0.699996627,0.40481732600000003,24.747468775,0.059764349999999994,8.9,0.7959991715,50.974951475,0.8455950835,2.854884528,22.87723915,0.018521663,4.080320208,6.603925353999999,4.0,17.75997618
1017,22.4,0.0293428685,38.59710653,0.20450311699999998,0.304514453,4.0,0.37055861799999995,35560.0,4.8334812320000005,4.0,498.33124715,7.648583993,1.0789202095000001,9.575041593,16.6768961,7.468934754499999,4.871002913,0.029214749999999998,1.566564372,0.020458863,18.82467523,58.14116616,4.5696778125,11.624792379999999,3.5616526995,0.657397165,0.0438878,0.31709310399999996,7.05,34.4,17.75,0.5110606375,4.0,0.17509415,662.1570437,0.9858436054999999,0.060465134000000004,0.485167324,0.166593599,20.283090665,0.029083299999999996,8.9,0.7959991715,64.97829652,0.701416416,2.854884528,22.51351746,0.00017858,3.6074932060000005,5.886627906999999,4.0,12.51237883
1019,19.4,0.0398879165,4.640424795,0.17337467550000002,0.003862037,4.0,0.001342691,39144.0,3.193225965,4.0,498.33124715,0.005428886,1.2759448285000001,0.176899388,17.89603294,11.050530805000001,4.871002913,0.0385428,1.231290161,0.003847782,18.82467523,92.07356959,0.069401762,11.624792379999999,0.044252074,0.6164130835,0.0385428,0.0,7.05,30.2,17.75,0.40463152599999996,4.0,0.21769594999999997,662.1570437,0.9858436054999999,0.0008351410000000001,0.18854130600000002,0.469429374,0.351942617,0.0385428,8.9,0.7959991715,49.399103769999996,0.5974814945,2.854884528,21.41675324,0.0,0.046005678,3.0061816219999997,4.0,0.388205919
