FIPS,State,County,Low_Access_Overall,Low_Access_Low_income,Low_Access_Children,Low_Access_Senior,Grocery,Supercenter,Convenience,Specialized,SNAP_store,WIC_store,Fast_food,Full_service,Assistance,Low_insecurity,Very_low_insecurity,Recreation_facility
1001,AL,Autauga,33.7696573,9.793530396,8.837111778999999,4.376377982,0.110834026,0.018472299999999997,0.535697793,0.0369447,0.674004155,0.11915639999999998,0.55417013,0.628059481,0.916089934,17.9,6.8,0.07388935099999999
1003,AL,Baldwin,19.318472600000003,5.460260624,4.34319915,3.513570133,0.13377479,0.03344369999999999,0.663300001,0.117052941,0.7250554709999999,0.14187460000000002,0.624282354,1.125937817,0.916089934,17.9,6.8,0.10033109300000001
1005,AL,Barbour,20.84097171,11.42031572,3.4250621939999997,2.805166443,0.180786058,0.0,0.506200962,0.072314423,1.280590174,0.20109929999999998,0.759301443,0.43388653899999996,0.916089934,17.9,6.8,0.036157199999999994
1007,AL,Bibb,4.559752683,2.144660992,1.087518013,0.657007739,0.261540473,0.0435901,0.828211499,0.0,0.7191220070000001,0.2779193,0.305130552,0.261540473,0.916089934,17.9,6.8,0.0435901
1009,AL,Blount,2.700840095,1.062467654,0.671490191,0.340269096,0.104637171,0.0174395,0.540625381,0.034879099999999996,0.657143845,0.1730283,0.418548682,0.33135104,0.916089934,17.9,6.8,0.05231860000000001
1011,AL,Bullock,37.47465226,20.15173014,5.56256064,5.079604368,0.182033312,0.0,0.182033312,0.091016656,1.3684679519999998,0.18313339999999997,0.364066624,0.182033312,0.916089934,17.9,6.8,0.0
1013,AL,Butler,6.243470212999999,2.832029115,1.264267328,1.2171405370000001,0.14376767099999999,0.0479226,1.150141372,0.0479226,1.341901807,0.2974567,0.814683472,0.910528586,0.916089934,17.9,6.8,0.0
1015,AL,Calhoun,26.06108574,10.04382389,5.8697560189999995,4.195726758999999,0.211214653,0.025345799999999998,0.743475579,0.0168972,1.175800255,0.1939659,0.802615682,0.566055271,0.916089934,17.9,6.8,0.059140099999999994
1017,AL,Chambers,19.72296719,8.821524906,4.476623344,3.421906963,0.20358306199999998,0.029083299999999996,0.63983248,0.029083299999999996,1.00546031,0.1740493,0.63983248,0.552582597,0.916089934,17.9,6.8,0.05816659999999999
1019,AL,Cherokee,0.305553252,0.132686376,0.066666847,0.03548555,0.154714938,0.038678699999999996,0.5415022820000001,0.038678699999999996,1.191345452,0.2048089,0.618859751,0.386787344,0.916089934,17.9,6.8,0.038678699999999996
1021,AL,Chilton,3.3377125569999997,1.688604305,0.764135847,0.553799165,0.160978751,0.022997,0.850887683,0.091987858,1.066888793,0.16394979999999998,0.528930181,0.390948395,0.916089934,17.9,6.8,0.068990893
1023,AL,Choctaw,18.84879045,11.62806842,3.85485113,3.1667338610000004,0.286204923,0.0,1.144819691,0.07155123099999999,1.198073303,0.355038,0.286204923,0.500858615,0.916089934,17.9,6.8,0.0
1025,AL,Clarke,19.58990819,11.23251266,5.26699054,2.822492571,0.230432445,0.076810815,0.691297335,0.076810815,1.5963859409999999,0.533049,0.883324372,0.49927029700000003,0.916089934,17.9,6.8,0.076810815
1027,AL,Clay,5.331407536,1.928948336,1.177525704,0.966974917,0.21419391699999998,0.0,0.571183778,0.071397972,0.7567299340000001,0.2172811,0.285591889,0.499785806,0.916089934,17.9,6.8,0.0
1029,AL,Cleburne,0.980921025,0.536935555,0.21153598199999998,0.194882072,0.201099343,0.0,0.7373642579999999,0.0,1.123696512,0.33930509999999997,0.469231801,0.268132457,0.916089934,17.9,6.8,0.0
1031,AL,Coffee,22.81436775,7.425411658,5.46027242,2.9901205560000004,0.141585761,0.020226499999999998,0.606796117,0.0,0.7316787640000001,0.1465263,0.7079288029999999,0.627022654,0.916089934,17.9,6.8,0.101132686
1033,AL,Colbert,17.49017262,5.08981574,4.174278645,2.927991265,0.16536214300000002,0.0183736,0.790063573,0.0551207,1.023950336,0.2013693,0.75331643,0.7349428579999999,0.916089934,17.9,6.8,0.07349428599999999
1035,AL,Conecuh,28.16587217,14.78309504,5.4664183920000005,5.889327345,0.226005725,0.0,1.2053638690000001,0.075335242,1.752561436,0.15339779999999997,0.376676209,0.301340967,0.916089934,17.9,6.8,0.0
1037,AL,Coosa,24.58828961,6.524480323,4.316413734,4.901327848,0.0,0.0,0.78878177,0.0,0.455954769,0.1864976,0.0,0.0,0.916089934,17.9,6.8,0.0
1039,AL,Covington,8.828653377,3.046753433,1.804610003,1.740112036,0.26561836,0.0265618,0.7171695709999999,0.053123699999999996,1.284415755,0.2728811,0.664045899,0.6374840629999999,0.916089934,17.9,6.8,0.053123699999999996
1041,AL,Crenshaw,38.71628362,15.83537355,9.326931968,5.602071574,0.285225328,0.0,0.8556759840000001,0.0,1.437903856,0.4384042,0.21391899600000003,0.6417569879999999,0.916089934,17.9,6.8,0.0
1043,AL,Cullman,7.829499986,3.1533742989999998,1.8375814540000002,1.4562544659999999,0.124453958,0.012445399999999999,0.672051375,0.074672375,0.9634510190000001,0.11040510000000002,0.622269791,0.547597416,0.916089934,17.9,6.8,0.049781599999999995
1045,AL,Dale,27.55559062,10.28382257,7.610137592999999,2.737059252,0.14040999699999998,0.0200586,0.661932844,0.0200586,0.7252266540000001,0.16528929999999997,0.661932844,0.621815702,0.916089934,17.9,6.8,0.040117099999999996
1047,AL,Dallas,17.7672232,11.56345443,4.4727858419999995,2.9075926880000003,0.205671976,0.0228524,0.89124523,0.0,1.296736967,0.3284304,0.457048836,0.365639069,0.916089934,17.9,6.8,0.0228524
