FIPS,group
1005,4
1007,4
1009,4
1011,4
1013,4
1015,4
1017,4
1023,4
1025,4
1027,4
1031,4
1033,4
1035,4
1037,4
1039,4
1041,4
1043,4
1045,4
1047,4
1049,4
1051,4
1053,4
1055,4
1057,4
1059,4
1061,4
1063,4
1065,4
1067,4
1069,4
1071,4
1075,4
1077,4
1079,4
1085,4
1087,4
1091,4
1093,4
1097,4
1099,4
1101,4
1105,4
1107,4
1109,4
1111,4
1119,4
1121,4
1123,4
1127,4
1129,4
1131,4
4001,1
4012,3
5003,3
5005,3
5013,3
5017,3
5023,3
5029,3
5035,3
5037,3
5039,3
5041,3
5043,3
5047,3
5049,3
5051,3
5057,3
5061,3
5065,3
5069,3
5073,3
5083,3
5093,3
5095,3
5097,3
5099,3
5103,3
5107,3
5111,3
5113,3
5117,3
5123,3
5129,3
5135,3
5139,3
5147,3
12007,3
12013,3
12015,3
12017,3
12027,3
12029,3
12039,3
12043,3
12051,3
12053,3
12055,3
12059,3
12069,3
12075,3
12077,3
12079,3
12105,3
12119,3
12121,3
12123,3
13007,3
13009,3
13019,3
13023,3
13027,3
13033,3
13037,3
13043,3
13061,3
13081,3
13091,3
13093,3
13099,3
13103,3
13109,3
13115,3
13133,3
13141,3
13147,3
13151,3
13163,3
13175,3
13181,3
13189,3
13191,3
13193,3
13197,3
13199,3
13205,3
13207,3
13209,3
13215,3
13225,3
13227,3
13235,3
13239,3
13243,3
13245,3
13251,3
13253,3
13259,3
13261,3
13263,3
13265,3
13269,3
13273,3
13275,3
13279,3
13287,3
13289,3
13291,3
13301,3
13307,3
13317,3
13319,3
13321,3
18001,3
18009,3
18015,3
18031,3
18045,3
18051,3
18053,3
18065,3
18075,3
18093,3
18101,3
18109,3
18119,3
18135,3
18137,3
18139,3
18149,3
18155,3
18165,3
18169,3
18181,3
20023,4
20027,4
20083,4
20095,4
20109,4
20125,4
20205,4
21001,3
21003,3
21009,3
21011,3
21013,3
21017,3
21019,3
21023,3
21025,3
21027,3
21031,3
21043,3
21045,3
21051,3
21055,3
21057,3
21061,3
21065,3
21069,3
21071,3
21073,3
21075,3
21085,3
21089,3
21091,3
21095,3
21101,3
21105,5
21109,3
21115,3
21119,3
21121,3
21123,3
21125,3
21127,3
21129,3
21131,3
21133,3
21135,3
21143,3
21147,3
21149,3
21153,3
21159,3
21169,3
21175,3
21183,3
21191,3
21193,3
21195,3
21197,3
21199,3
21201,3
21217,3
21221,3
21231,3
21233,3
21235,3
22007,3
22009,3
22013,3
22029,3
22031,3
22035,3
22037,3
22041,3
22049,3
22067,3
22083,3
22085,3
22087,3
22091,3
22093,3
22095,3
22097,3
22101,3
22107,3
22111,3
22117,3
22121,3
22123,3
24019,3
24039,3
24047,3
26001,3
26011,3
26051,3
26129,3
26141,3
26143,3
28001,4
28003,4
28005,4
28007,4
28009,4
28011,4
28013,4
28015,4
28017,4
28019,4
28021,4
28023,4
28025,4
28027,4
28029,4
28031,4
28037,4
