FIPS,prevalence of diabetes,prevalence of obesity,prevalence of physical inactivity
5125,11.8,32.5,29.533333333333335
5127,11.4,32.5,30.933333333333337
5129,13.4,35.0,33.56666666666666
5131,12.9,36.9,31.7
5133,12.2,36.7,32.300000000000004
5135,15.2,37.3,30.3
5137,12.7,32.6,32.93333333333333
5139,13.5,39.4,37.56666666666667
5141,12.9,35.6,31.666666666666668
5143,9.1,30.6,24.900000000000002
5145,10.1,36.3,29.866666666666664
5147,14.7,35.8,33.46666666666666
5149,12.9,37.1,35.43333333333333
6001,8.5,20.0,15.166666666666666
6003,10.3,23.4,17.933333333333334
6005,10.2,25.5,17.53333333333333
6007,10.2,25.9,17.866666666666667
6009,10.0,23.5,18.133333333333333
6011,9.6,25.4,16.2
6013,9.4,25.0,17.066666666666666
6015,8.4,25.5,18.3
6017,7.5,20.6,14.799999999999999
6019,9.4,26.6,19.4
6021,8.4,26.7,17.433333333333334
6023,8.8,25.5,14.533333333333331
6025,8.3,26.3,21.899999999999995
6027,9.4,23.3,16.566666666666666
6029,9.3,30.3,22.53333333333333
6031,7.5,26.4,19.099999999999998
6033,10.1,26.2,21.5
6035,7.6,23.9,16.900000000000002
6037,9.1,21.4,17.3
6039,7.9,26.5,19.7
6041,7.9,18.9,11.033333333333333
6043,10.7,24.4,17.266666666666666
6045,8.4,22.4,17.333333333333332
6047,9.2,29.5,21.866666666666664
6049,10.4,23.2,20.400000000000002
6051,7.4,22.8,14.533333333333333
6053,7.6,22.3,16.733333333333334
6055,8.4,23.7,14.4
6057,7.7,21.1,15.366666666666665
6059,8.0,19.7,15.766666666666667
6061,9.0,21.7,14.4
6063,9.8,23.0,16.633333333333333
6065,9.0,26.0,19.133333333333333
6067,8.4,27.4,16.9
6069,7.6,23.3,15.433333333333332
6071,9.2,27.9,19.000000000000004
6073,7.7,19.1,15.233333333333334
6075,7.9,16.1,14.700000000000001
6077,10.3,28.3,20.099999999999998
6079,8.5,24.5,14.266666666666666
6081,8.3,21.1,15.699999999999998
6083,7.1,18.2,14.200000000000001
6085,8.4,19.5,15.333333333333334
6087,7.0,20.2,11.700000000000001
6089,9.4,26.5,19.666666666666668
6091,9.6,22.5,16.666666666666668
6093,8.6,23.2,19.2
6095,9.8,30.1,19.0
6097,7.9,20.9,13.1
6099,9.7,32.6,19.400000000000002
6101,8.6,28.7,21.866666666666664
6103,11.2,27.2,21.2
6105,10.1,25.1,19.566666666666666
6107,8.0,32.6,19.833333333333332
6109,10.1,20.2,17.46666666666667
6111,7.6,20.3,17.166666666666668
6113,6.9,22.7,14.633333333333335
6115,7.6,24.8,16.7
8001,7.2,26.3,19.466666666666665
8003,6.7,23.0,18.766666666666666
8005,6.3,21.4,16.099999999999998
8007,5.9,16.5,15.133333333333335
8009,7.6,19.4,21.2
8011,7.0,26.5,22.333333333333332
8013,4.1,13.4,9.266666666666667
8014,5.5,17.6,12.533333333333333
8015,6.4,20.5,15.833333333333334
8017,6.5,23.7,23.833333333333332
8019,7.9,18.1,15.966666666666667
8021,6.0,24.5,20.333333333333332
8023,8.3,21.9,23.366666666666664
8025,6.0,21.6,20.833333333333332
8027,6.8,20.5,19.2
8029,7.6,20.4,18.599999999999998
8031,6.0,16.4,12.733333333333334
8033,7.5,19.8,17.133333333333336
8035,5.3,17.0,10.633333333333333
8037,3.3,11.8,9.733333333333334
8039,5.2,19.6,17.366666666666664
8041,7.0,22.3,16.099999999999998
8043,8.1,22.8,19.066666666666666
8045,4.7,20.0,12.200000000000001
8047,6.3,19.7,17.166666666666668
8049,5.6,17.4,13.066666666666668
8051,4.6,14.8,11.633333333333333
8053,6.6,20.5,15.833333333333334
8055,7.6,20.1,21.366666666666664
8057,6.6,21.4,18.933333333333334
8059,5.4,18.3,12.399999999999999
8061,7.7,19.5,21.533333333333335
8063,7.3,27.6,24.833333333333332
8065,5.4,17.5,15.833333333333334
8067,4.8,16.3,12.5
8069,5.2,18.7,12.199999999999998
8071,7.7,21.0,21.333333333333332
8073,7.6,23.8,21.166666666666668
8075,7.0,25.4,20.566666666666666
8077,7.2,23.5,17.633333333333336
8079,6.8,18.1,18.133333333333333
8081,6.3,25.8,22.86666666666667
8083,6.5,21.7,18.733333333333334
8085,8.1,19.7,16.866666666666667
8087,7.4,26.9,20.76666666666667
8089,6.8,26.9,21.066666666666666
8091,6.7,18.6,14.1
8093,6.7,20.5,16.400000000000002
8095,7.8,22.8,20.033333333333335
8097,5.1,14.9,9.533333333333333
8099,8.4,26.1,22.566666666666666
8101,9.1,25.9,19.833333333333332
8103,6.0,22.6,16.900000000000002
8105,6.9,23.2,18.966666666666665
8107,4.1,14.3,11.366666666666665
8109,7.0,19.7,18.2
8111,6.7,19.3,16.566666666666666
8113,5.0,16.7,12.833333333333334
8115,8.0,22.1,21.0
8117,4.1,13.1,8.799999999999999
8119,6.9,20.3,17.099999999999998
8121,6.5,23.2,18.733333333333334
8123,6.4,26.0,17.833333333333332
8125,6.1,24.8,22.866666666666664
9001,7.6,21.4,19.633333333333336
9003,9.6,26.8,22.333333333333332
9005,6.7,23.9,19.833333333333332
9007,8.4,24.1,20.033333333333335
9009,9.0,26.5,22.8
9011,9.2,27.6,21.233333333333334
9013,7.2,24.8,17.433333333333334
9015,10.1,29.6,24.0
10001,12.8,32.8,27.766666666666666
10003,9.0,27.7,22.333333333333332
10005,13.2,31.0,26.099999999999998
11001,8.1,22.4,17.066666666666666
12001,8.3,25.6,19.7
12003,13.0,35.8,34.733333333333334
12005,11.2,29.9,26.7
12007,14.4,35.9,32.43333333333333
12009,11.7,25.6,24.766666666666666
12011,9.5,24.4,23.099999999999998
12013,15.5,39.4,33.166666666666664
12015,14.1,25.7,23.066666666666666
12017,14.6,26.3,27.666666666666668
12019,12.0,29.7,24.53333333333333
12021,8.6,19.5,17.733333333333334
12023,12.7,36.3,31.399999999999995
12027,13.7,36.0,31.0
12029,14.0,30.6,32.833333333333336
12031,11.2,30.6,24.433333333333334
12033,12.4,28.9,24.933333333333334
12035,12.4,24.2,22.600000000000005
12037,11.0,32.2,27.933333333333334
12039,17.1,36.5,31.566666666666663
12041,8.4,31.5,29.566666666666666
12043,13.8,33.1,33.766666666666666
12045,11.1,30.9,27.866666666666664
12047,13.0,33.2,32.1
12049,12.6,33.9,32.7
12051,13.7,35.2,30.733333333333334
12053,13.4,32.1,26.2
12055,14.2,31.0,28.133333333333336
12057,10.4,28.3,22.766666666666666
12059,14.2,31.6,34.333333333333336
12061,11.4,24.5,24.766666666666666
12063,12.4,34.7,32.93333333333334
12065,11.7,32.2,27.100000000000005
12067,13.2,35.3,31.8
12069,14.7,29.3,24.899999999999995
12071,9.9,24.6,23.666666666666668
12073,8.3,26.4,18.833333333333332
12075,14.1,32.2,31.33333333333333
12077,13.4,39.6,30.96666666666667
12079,15.6,34.1,30.23333333333333
12081,10.6,25.3,22.833333333333332
12083,12.6,29.2,28.066666666666663
12085,11.3,21.3,20.966666666666665
12086,7.9,21.0,21.400000000000002
12087,8.6,22.0,19.7
12089,10.8,28.6,23.333333333333332
12091,9.7,26.4,23.599999999999998
12093,11.6,31.0,30.366666666666664
12095,8.8,24.9,23.099999999999998
12097,12.0,29.1,26.2
12099,10.5,21.5,22.599999999999998
12101,12.2,31.1,25.833333333333332
12103,10.8,25.5,21.933333333333334
12105,14.3,32.3,26.866666666666664
12107,12.2,36.1,31.333333333333332
12109,9.0,21.9,17.933333333333334
12111,11.5,27.9,25.46666666666667
12113,9.0,26.1,24.233333333333334
12115,11.1,20.6,20.433333333333334
12117,10.0,24.6,20.633333333333333
12119,14.9,26.9,20.5
12121,13.5,33.3,29.0
12123,15.4,38.9,34.233333333333334
12125,12.5,37.1,30.866666666666664
12127,12.4,26.0,25.8
12129,11.7,36.4,27.03333333333333
12131,11.6,27.5,24.966666666666665
12133,12.9,38.5,32.46666666666666
13001,12.9,34.8,28.433333333333337
13003,11.5,35.3,30.633333333333336
13005,10.4,32.7,29.400000000000002
13007,14.8,30.0,27.766666666666666
13009,14.0,36.8,25.8
13011,11.1,27.0,27.5
13013,11.3,34.6,30.7
13015,12.1,35.2,26.066666666666666
13017,12.4,35.3,29.400000000000002
13019,14.2,34.7,34.233333333333334
13021,12.7,31.3,27.166666666666668
13023,13.6,30.4,28.599999999999998
13025,10.9,33.1,27.066666666666666
13027,14.5,33.5,29.099999999999998
13029,12.3,29.3,26.0
13031,12.0,33.5,24.8
13033,14.7,32.0,27.96666666666667
13035,11.7,28.7,29.3
13037,14.4,34.4,27.73333333333333
13039,10.9,31.5,23.86666666666667
13043,13.7,30.3,29.933333333333334
13045,11.3,31.7,28.066666666666666
13047,12.2,27.8,28.46666666666667
13049,11.6,32.0,28.399999999999995
13051,11.0,31.3,23.099999999999998
13053,6.4,27.3,26.3
13055,11.0,34.0,27.266666666666666
13057,8.7,26.9,21.400000000000002
13059,8.3,25.3,23.73333333333333
13061,17.2,29.8,30.53333333333333
13063,11.6,38.0,25.7
13065,12.9,29.6,28.600000000000005
13067,8.5,22.9,18.666666666666668
13069,11.5,34.8,33.56666666666667
13071,12.8,35.2,32.46666666666666
13073,10.4,30.3,22.166666666666668
13075,12.2,31.4,27.400000000000002
13077,10.6,26.8,24.5
13079,13.1,27.3,31.333333333333332
13081,14.2,31.1,30.7
13083,12.2,32.3,27.266666666666666
13085,10.5,27.7,22.96666666666667
13087,12.1,30.0,27.53333333333333
13089,10.0,27.3,20.233333333333334
13091,13.5,28.5,30.166666666666668
13093,14.8,34.7,30.766666666666666
13095,12.4,34.4,28.599999999999998
13097,12.0,32.3,25.900000000000002
13099,15.6,31.5,31.133333333333336
13101,10.9,28.3,27.5
13103,13.5,35.2,24.76666666666667
13105,13.0,31.1,29.066666666666663
13107,11.6,36.3,30.73333333333333
13109,13.4,33.5,29.0
13111,12.2,25.9,25.46666666666667
13113,12.9,31.1,20.833333333333332
13115,13.6,31.0,28.733333333333334
13117,10.8,29.4,18.666666666666664
13119,12.4,29.5,33.199999999999996
13121,8.7,23.9,18.266666666666666
13123,12.4,29.7,27.433333333333334
13125,11.8,28.6,26.7
13127,11.5,26.2,27.766666666666666
13129,10.2,29.3,23.7
13131,12.1,33.0,31.400000000000002
13133,15.4,29.7,29.900000000000002
13135,8.3,29.5,20.466666666666665
13137,11.4,31.7,28.5
13139,10.9,25.7,22.899999999999995
13141,15.8,31.2,28.53333333333333
13143,11.2,27.3,27.266666666666666
13145,13.2,28.4,22.566666666666666
13147,13.5,29.9,27.766666666666666
13149,12.0,30.2,27.100000000000005
13151,13.5,33.1,23.333333333333332
13153,13.2,31.0,24.266666666666666
13155,12.4,29.2,28.03333333333333
13157,11.2,27.4,26.266666666666666
13159,12.6,29.3,29.133333333333336
13161,12.8,30.0,29.566666666666663
13163,16.7,35.3,28.2
13165,12.1,29.9,28.0
13167,12.7,34.0,31.0
13169,12.4,33.5,29.066666666666663
13171,11.7,30.6,28.766666666666666
13173,11.4,33.2,27.766666666666666
13175,14.4,36.2,30.600000000000005
13177,10.7,31.2,24.099999999999998
13179,10.4,34.9,27.46666666666667
13181,14.1,29.0,28.7
13183,9.8,31.4,26.666666666666668
13185,11.6,31.3,27.666666666666668
13187,10.8,30.7,24.5
13189,17.4,33.4,29.400000000000002
13191,15.2,30.9,28.866666666666664
13193,13.5,36.4,30.0
13195,13.3,31.9,28.400000000000002
13197,14.0,32.9,30.700000000000003
13199,14.8,34.6,31.2
13201,13.3,30.3,33.53333333333333
13205,14.4,33.6,30.5
13207,14.5,31.9,27.099999999999998
13209,13.4,36.2,30.266666666666666
13211,11.6,26.5,26.599999999999998
13213,12.7,32.5,31.099999999999998
13215,13.4,28.8,26.866666666666664
13217,10.4,32.9,27.96666666666667
13219,9.3,28.8,21.266666666666666
13221,13.0,30.1,26.066666666666663
13223,11.0,28.6,24.866666666666664
13225,13.6,34.4,27.733333333333334
13227,14.2,26.7,22.766666666666666
13229,11.3,28.5,32.9
13231,11.7,26.2,28.7
13233,10.4,34.5,30.733333333333334
13235,13.6,31.7,30.066666666666666
13237,12.8,30.0,24.566666666666663
13239,16.9,34.0,29.733333333333334
13241,13.0,29.4,24.599999999999998
13243,16.7,33.7,33.36666666666667
13245,13.5,34.1,27.0
13247,13.1,36.0,27.7
13249,12.6,30.4,26.833333333333332
13251,13.6,33.0,30.8
13253,14.2,30.7,31.433333333333334
13255,12.9,32.4,28.099999999999998
13257,12.6,30.1,29.433333333333334
13259,13.7,34.2,29.166666666666668
13261,13.8,32.7,28.53333333333333
13263,16.3,33.3,29.933333333333337
13265,16.2,31.4,30.166666666666668
13267,10.2,33.1,30.400000000000002
13269,14.5,28.8,30.866666666666664
13271,12.3,30.9,30.900000000000002
13273,14.9,31.6,29.266666666666666
13275,14.0,34.0,25.26666666666667
13277,13.2,34.0,28.866666666666664
13279,13.6,31.5,27.833333333333332
13281,12.9,27.4,26.899999999999995
13283,12.3,32.9,32.86666666666667
13285,12.6,30.0,28.53333333333333
13287,14.3,34.6,32.0
13289,14.5,32.8,30.733333333333334
13291,15.9,27.2,26.099999999999998
13293,11.9,32.0,29.633333333333336
13295,12.4,32.1,31.23333333333333
13297,11.6,34.4,24.166666666666668
13299,12.3,35.5,29.46666666666667
13301,15.8,32.0,31.63333333333333
13303,13.0,32.2,29.566666666666666
13305,13.1,31.8,29.700000000000003
13307,14.6,32.1,29.233333333333334
13309,12.1,31.9,30.633333333333336
13311,12.6,28.6,25.0
13313,13.2,33.5,30.766666666666666
13315,11.4,31.5,27.566666666666666
13317,15.5,32.9,30.366666666666664
13319,14.8,34.5,29.333333333333332
13321,13.9,36.7,30.133333333333336
15001,8.1,22.7,19.333333333333332
15003,8.4,22.3,18.566666666666666
15005,11.3,21.5,21.733333333333334
15007,8.3,20.6,17.966666666666665
15009,7.7,22.4,17.733333333333334
16001,7.5,25.4,15.800000000000002
16003,11.6,27.6,21.933333333333334
16005,10.0,28.1,19.266666666666666
16007,8.9,28.7,24.7
16009,9.4,30.1,24.46666666666667
16011,9.9,33.3,25.099999999999998
16013,6.6,19.2,13.5
16015,9.6,22.4,22.633333333333336
16017,7.6,24.7,21.933333333333337
16019,8.5,29.4,19.5
16021,11.0,27.3,24.066666666666663
16023,9.5,28.5,23.366666666666664
16025,9.4,25.7,20.266666666666666
16027,9.5,33.4,22.2
16029,10.5,27.5,24.366666666666664
16031,9.0,30.5,24.066666666666666
16033,8.5,31.4,23.166666666666668
16035,11.1,30.6,22.3
16037,9.4,26.3,22.433333333333337
16039,8.6,29.8,25.96666666666667
16041,7.9,30.7,20.866666666666667
16043,9.0,28.9,19.86666666666667
16045,9.9,28.5,23.366666666666664
16047,9.8,30.0,23.5
16049,9.5,25.7,23.3
16051,8.8,32.7,21.666666666666668
16053,7.7,33.3,21.733333333333334
16055,9.6,25.0,18.466666666666665
16057,6.4,24.3,16.033333333333335
16059,12.1,26.8,20.266666666666666
16061,10.5,29.7,22.033333333333335
16063,8.3,32.3,22.266666666666666
16065,5.5,24.5,15.733333333333334
16067,10.8,34.2,21.466666666666665
16069,11.0,30.9,23.53333333333333
16071,12.2,31.3,19.466666666666665
16073,9.5,30.4,26.933333333333334
16075,9.2,33.3,23.73333333333333
16077,8.2,32.1,22.23333333333333
16079,10.2,31.1,27.266666666666666
16081,6.0,24.1,15.733333333333334
16083,8.7,27.6,22.233333333333334
16085,8.4,24.1,20.0
16087,11.2,30.3,27.26666666666667
17001,10.1,37.0,24.399999999999995
17003,11.4,28.4,27.96666666666667
17005,10.0,29.6,26.166666666666668
17007,9.4,33.7,23.76666666666667
17009,8.2,27.6,26.066666666666663
17011,11.3,29.1,28.700000000000003
17013,11.4,29.1,30.23333333333333
17015,12.2,28.6,25.599999999999998
17017,10.6,28.0,25.100000000000005
17019,7.4,25.1,20.233333333333334
17021,10.5,31.7,29.766666666666666
17023,11.5,32.7,28.233333333333334
17025,10.8,31.0,31.799999999999997
17027,8.7,29.5,28.46666666666667
17029,8.9,26.3,23.433333333333334
17031,8.5,25.3,20.466666666666665
17033,10.6,31.3,25.666666666666668
17035,11.1,27.8,25.766666666666666
17037,8.3,28.3,20.266666666666666
17039,10.8,30.5,26.233333333333334
17041,10.8,30.5,26.333333333333332
17043,8.1,23.0,18.166666666666668
17045,10.1,30.3,23.933333333333334
17047,10.5,31.3,26.133333333333336
17049,10.7,31.8,24.366666666666664
17051,10.3,33.0,23.46666666666667
17053,10.6,28.2,25.833333333333332
17055,11.6,30.2,28.7
17057,11.6,30.7,28.133333333333336
17059,10.8,28.4,27.833333333333332
17061,11.5,28.7,27.46666666666667
17063,8.6,30.4,24.96666666666667
17065,11.1,28.2,26.133333333333336
17067,11.2,28.6,28.233333333333334
17069,13.0,30.6,27.899999999999995
17071,11.8,30.4,27.166666666666668
17073,11.1,30.5,27.099999999999998
17075,12.4,33.9,28.600000000000005
17077,9.0,31.5,24.733333333333334
17079,10.2,30.2,25.233333333333334
17081,11.1,30.2,26.233333333333334
17083,10.4,33.0,28.433333333333337
17085,13.0,29.5,26.7
17087,10.5,29.4,24.733333333333334
17089,7.7,25.3,18.566666666666666
17091,9.1,30.1,24.433333333333334
17093,8.3,33.7,20.333333333333332
17095,9.8,26.2,26.566666666666666
17097,8.4,28.4,19.46666666666667
17099,10.4,27.1,24.099999999999998
17101,11.7,28.9,26.2
17103,10.1,32.6,28.066666666666666
17105,9.5,29.2,30.46666666666667
17107,9.8,29.2,24.599999999999998
17109,9.3,26.8,22.366666666666664
17111,10.1,27.7,21.73333333333333
17113,7.0,29.3,22.53333333333333
17115,10.0,29.7,24.133333333333336
17117,10.5,31.0,28.46666666666667
17119,10.0,32.3,27.666666666666668
17121,10.5,33.5,30.633333333333336
17123,11.2,29.1,25.76666666666667
17125,11.1,31.7,26.866666666666664
17127,11.2,30.7,28.0
17129,10.2,28.3,25.400000000000002
17131,11.4,31.2,28.366666666666664
17133,11.4,33.2,26.96666666666667
17135,10.8,31.3,26.0
17137,11.3,28.8,27.633333333333336
17139,10.2,28.6,25.899999999999995
17141,10.4,31.2,23.23333333333333
17143,9.6,28.8,23.866666666666664
17145,10.6,29.1,24.099999999999998
17147,10.7,29.0,24.099999999999998
17149,12.0,32.6,29.433333333333334
17151,10.9,29.5,26.76666666666667
17153,12.1,27.3,26.76666666666667
17155,10.5,29.9,25.233333333333334
17157,10.1,27.7,24.099999999999998
17159,11.0,28.8,28.433333333333334
17161,10.8,31.7,24.766666666666666
17163,12.7,33.2,26.8
17165,12.0,30.1,26.900000000000002
17167,10.7,28.5,25.233333333333334
17169,10.6,31.7,25.866666666666664
17171,9.9,30.4,25.46666666666667
17173,10.1,30.6,29.96666666666667
17175,12.2,30.2,26.933333333333337
17177,12.5,32.9,26.933333333333334
17179,9.6,30.6,26.366666666666664
17181,11.9,28.2,26.266666666666666
17183,12.7,35.4,26.633333333333336
17185,12.6,32.2,28.5
17187,10.5,30.5,28.066666666666666
17189,10.5,28.6,25.53333333333333
17191,10.3,29.2,27.96666666666667
17193,10.6,28.7,26.2
17195,10.5,28.7,27.03333333333333
17197,8.5,28.0,22.633333333333336
17199,10.5,31.6,27.8
17201,11.7,33.9,26.566666666666666
17203,9.6,30.8,22.833333333333332
18001,13.9,32.8,30.03333333333333
18003,10.3,30.1,23.799999999999997
18005,10.5,29.5,26.46666666666667
18007,12.1,32.6,31.766666666666666
18009,13.7,36.0,30.53333333333333
18011,10.4,27.8,24.700000000000003
18013,12.6,30.6,28.86666666666667
18015,13.4,26.9,30.96666666666667
18017,9.8,33.7,28.96666666666667
18019,12.4,33.3,32.46666666666667
18021,11.9,33.1,26.933333333333334
18023,12.5,30.9,31.03333333333333
18025,13.0,33.0,30.63333333333333
18027,12.9,37.6,31.899999999999995
18029,13.1,32.5,28.7
18031,14.7,32.7,31.96666666666667
18033,10.0,32.8,26.53333333333333
18035,12.5,31.5,30.099999999999998
18037,10.3,29.5,22.266666666666666
18039,10.2,32.8,27.066666666666663
18041,12.2,33.0,33.666666666666664
18043,10.2,30.1,30.166666666666668
18045,13.9,29.8,30.433333333333334
18047,11.0,26.2,26.566666666666666
18049,11.4,37.8,24.400000000000002
18051,13.4,32.1,31.599999999999998
18053,14.8,37.3,30.53333333333333
18055,13.3,33.1,29.166666666666668
18057,8.6,25.9,17.733333333333334
18059,12.4,34.8,27.166666666666668
18061,12.8,36.0,29.333333333333332
18063,10.0,31.8,27.03333333333333
18065,13.4,36.7,29.5
18067,13.1,31.4,29.03333333333333
18069,12.7,32.6,28.433333333333334
18071,12.4,36.9,30.566666666666663
18073,11.3,29.6,27.833333333333332
18075,15.0,34.0,33.56666666666667
18077,12.5,35.0,28.766666666666666
18079,12.3,33.0,30.366666666666664
18081,10.7,30.2,23.333333333333332
18083,11.0,32.3,32.800000000000004
18085,10.4,33.2,23.066666666666666
18087,11.2,34.2,26.766666666666666
18089,12.2,33.9,29.76666666666667
18091,10.8,35.0,26.133333333333336
18093,15.1,38.2,29.96666666666667
18095,12.2,33.4,28.133333333333336
18097,10.5,32.4,26.26666666666667
18099,11.1,30.8,26.566666666666666
18101,15.6,35.8,32.1
18103,11.6,35.7,29.633333333333336
18105,7.7,22.1,20.0
18107,11.8,32.7,26.03333333333333
18109,14.0,33.2,29.96666666666667
18111,11.6,35.3,31.133333333333336
18113,11.8,31.8,25.866666666666664
