FIPS,clusters
12085,cluster_0
12086,cluster_0
12087,cluster_0
12089,cluster_0
12091,cluster_0
12093,cluster_0
12095,cluster_0
12097,cluster_0
12099,cluster_0
12101,cluster_0
12103,cluster_0
12105,cluster_0
12107,cluster_0
12109,cluster_0
12111,cluster_0
12113,cluster_0
12115,cluster_0
12117,cluster_0
12119,cluster_0
12121,cluster_0
12123,cluster_3
12125,cluster_0
12127,cluster_0
12129,cluster_0
12131,cluster_0
12133,cluster_0
13001,cluster_0
13003,cluster_0
13005,cluster_0
13007,cluster_0
13009,cluster_3
13011,cluster_0
13013,cluster_0
13015,cluster_0
13017,cluster_0
13019,cluster_0
13021,cluster_0
13023,cluster_0
13025,cluster_0
13027,cluster_0
13029,cluster_0
13031,cluster_0
13033,cluster_0
13035,cluster_0
13037,cluster_0
13039,cluster_0
13043,cluster_0
13045,cluster_0
13047,cluster_0
13049,cluster_0
13051,cluster_0
13053,cluster_0
13055,cluster_0
13057,cluster_0
13059,cluster_0
13061,cluster_0
13063,cluster_0
13065,cluster_0
13067,cluster_0
13069,cluster_0
13071,cluster_0
13073,cluster_0
13075,cluster_0
13077,cluster_0
13079,cluster_0
13081,cluster_0
13083,cluster_0
13085,cluster_0
13087,cluster_0
13089,cluster_0
13091,cluster_0
13093,cluster_0
13095,cluster_0
13097,cluster_0
13099,cluster_0
13101,cluster_0
13103,cluster_0
13105,cluster_0
13107,cluster_0
13109,cluster_0
13111,cluster_0
13113,cluster_0
13115,cluster_0
13117,cluster_0
13119,cluster_0
13121,cluster_0
13123,cluster_0
13125,cluster_0
13127,cluster_0
13129,cluster_0
13131,cluster_0
13133,cluster_0
13135,cluster_0
13137,cluster_0
13139,cluster_0
13141,cluster_0
13143,cluster_0
13145,cluster_0
13147,cluster_0
13149,cluster_0
13151,cluster_0
13153,cluster_0
13155,cluster_0
13157,cluster_0
13159,cluster_0
13161,cluster_0
13163,cluster_3
13165,cluster_0
13167,cluster_0
13169,cluster_0
13171,cluster_0
13173,cluster_0
13175,cluster_3
13177,cluster_0
13179,cluster_0
13181,cluster_0
13183,cluster_0
13185,cluster_0
13187,cluster_0
13189,cluster_0
13191,cluster_0
13193,cluster_0
13195,cluster_0
13197,cluster_0
13199,cluster_0
13201,cluster_0
13205,cluster_0
13207,cluster_0
13209,cluster_0
13211,cluster_0
13213,cluster_0
13215,cluster_0
13217,cluster_0
13219,cluster_0
13221,cluster_0
13223,cluster_0
13225,cluster_0
13227,cluster_0
13229,cluster_0
13231,cluster_0
13233,cluster_0
13235,cluster_0
13237,cluster_0
13239,cluster_0
13241,cluster_0
13243,cluster_0
13245,cluster_0
13247,cluster_0
13249,cluster_0
13251,cluster_0
13253,cluster_0
13255,cluster_0
13257,cluster_0
13259,cluster_0
13261,cluster_0
13263,cluster_0
13265,cluster_0
13267,cluster_0
13269,cluster_0
13271,cluster_0
13273,cluster_0
13275,cluster_0
13277,cluster_0
13279,cluster_0
13281,cluster_0
13283,cluster_0
13285,cluster_0
13287,cluster_0
13289,cluster_0
13291,cluster_0
13293,cluster_0
13295,cluster_0
13297,cluster_0
13299,cluster_0
13301,cluster_0
13303,cluster_0
13305,cluster_0
13307,cluster_0
13309,cluster_0
13313,cluster_0
13315,cluster_0
13317,cluster_0
13319,cluster_0
13321,cluster_3
15001,cluster_0
15003,cluster_0
15007,cluster_0
15009,cluster_0
16001,cluster_0
16003,cluster_0
16005,cluster_0
16007,cluster_0
16009,cluster_0
16011,cluster_0
16013,cluster_0
16015,cluster_0
16017,cluster_0
16019,cluster_0
16021,cluster_0
16023,cluster_0
16025,cluster_0
16027,cluster_0
16029,cluster_0
16031,cluster_0
16033,cluster_0
16035,cluster_0
16037,cluster_0
16039,cluster_0
16041,cluster_0
16043,cluster_0
16045,cluster_0
16047,cluster_0
16049,cluster_0
16051,cluster_0
16053,cluster_0
16055,cluster_0
16057,cluster_0
16059,cluster_0
16061,cluster_0
16063,cluster_0
16065,cluster_0
16067,cluster_0
16069,cluster_0
16071,cluster_0
16073,cluster_0
16075,cluster_0
16077,cluster_0
16079,cluster_0
16081,cluster_0
16083,cluster_0
16085,cluster_0
16087,cluster_0
17001,cluster_0
17003,cluster_0
17005,cluster_0
17007,cluster_0
17009,cluster_0
17011,cluster_0
17013,cluster_0
17015,cluster_0
17017,cluster_0
17019,cluster_0
17021,cluster_0
17023,cluster_0
17025,cluster_0
17027,cluster_0
17029,cluster_0
17031,cluster_0
17033,cluster_0
17037,cluster_0
17039,cluster_0
17041,cluster_0
17043,cluster_0
17045,cluster_0
17047,cluster_0
17049,cluster_0
17051,cluster_0
17053,cluster_0
17055,cluster_0
17057,cluster_0
17059,cluster_0
17061,cluster_0
17063,cluster_0
17065,cluster_0
17067,cluster_0
